study_condition	time_bin_start	time_bin	taxon_short	mean_relative_abundance
control	0	0-6 mo	s__Bacteroides_dorei	0.0820605693136554
control	0	0-6 mo	s__Bacteroides_fragilis	0.0597830794861436
control	0	0-6 mo	s__Bacteroides_ovatus	0.0167663311731747
control	0	0-6 mo	s__Bacteroides_uniformis	0.0710130264055953
control	0	0-6 mo	s__Bacteroides_vulgatus	0.0871991855450516
control	0	0-6 mo	s__Bifidobacterium_bifidum	0.0627918042975964
control	0	0-6 mo	s__Bifidobacterium_longum	0.0431042992950392
control	0	0-6 mo	s__Blautia_wexlerae	0.018697093408406
control	0	0-6 mo	s__Faecalibacterium_prausnitzii	0.0342668883988189
control	0	0-6 mo	s__Parabacteroides_distasonis	0.0387739103558523
control	0	0-6 mo	s__Prevotella_copri	0.0188419793110138
control	0	0-6 mo	s__Roseburia_intestinalis	0.0340531354614388
control	6	6-12 mo	s__Bacteroides_dorei	0.068429711365412
control	6	6-12 mo	s__Bacteroides_fragilis	0.0342565218046208
control	6	6-12 mo	s__Bacteroides_ovatus	0.0276246162115624
control	6	6-12 mo	s__Bacteroides_uniformis	0.0684033828915069
control	6	6-12 mo	s__Bacteroides_vulgatus	0.0919341628532154
control	6	6-12 mo	s__Bifidobacterium_bifidum	0.0327719863523589
control	6	6-12 mo	s__Bifidobacterium_longum	0.0325311388117768
control	6	6-12 mo	s__Blautia_wexlerae	0.0298565675460234
control	6	6-12 mo	s__Faecalibacterium_prausnitzii	0.0631961397385774
control	6	6-12 mo	s__Parabacteroides_distasonis	0.0355735099796083
control	6	6-12 mo	s__Prevotella_copri	2.94708761774895e-05
control	6	6-12 mo	s__Roseburia_intestinalis	0.0373224601635173
control	12	12-18 mo	s__Bacteroides_dorei	0.0533673419768906
control	12	12-18 mo	s__Bacteroides_fragilis	0.0138325237134757
control	12	12-18 mo	s__Bacteroides_ovatus	0.0412707316727564
control	12	12-18 mo	s__Bacteroides_uniformis	0.0896936229413266
control	12	12-18 mo	s__Bacteroides_vulgatus	0.145888258989689
control	12	12-18 mo	s__Bifidobacterium_bifidum	0.0303148332102956
control	12	12-18 mo	s__Bifidobacterium_longum	0.0293600466196248
control	12	12-18 mo	s__Blautia_wexlerae	0.0296583728294666
control	12	12-18 mo	s__Faecalibacterium_prausnitzii	0.0618851169959133
control	12	12-18 mo	s__Parabacteroides_distasonis	0.0190590637199864
control	12	12-18 mo	s__Prevotella_copri	0.0348215908121826
control	12	12-18 mo	s__Roseburia_intestinalis	0.0227494121790446
control	18	18-24 mo	s__Bacteroides_dorei	0.0821602073466611
control	18	18-24 mo	s__Bacteroides_fragilis	0.0296516339252791
control	18	18-24 mo	s__Bacteroides_ovatus	0.0055534925965121
control	18	18-24 mo	s__Bacteroides_uniformis	0.0891648149012842
control	18	18-24 mo	s__Bacteroides_vulgatus	0.0765065166492075
control	18	18-24 mo	s__Bifidobacterium_bifidum	0.0219923219759915
control	18	18-24 mo	s__Bifidobacterium_longum	0.0337665798425578
control	18	18-24 mo	s__Blautia_wexlerae	0.0252865922034303
control	18	18-24 mo	s__Faecalibacterium_prausnitzii	0.0491760411113244
control	18	18-24 mo	s__Parabacteroides_distasonis	0.00822650204867661
control	18	18-24 mo	s__Prevotella_copri	0.0961863462530639
control	18	18-24 mo	s__Roseburia_intestinalis	0.0130689222339446
control	24	24-30 mo	s__Bacteroides_dorei	0.0376650156663598
control	24	24-30 mo	s__Bacteroides_fragilis	0.0166684629185964
control	24	24-30 mo	s__Bacteroides_ovatus	0.0571048765791075
control	24	24-30 mo	s__Bacteroides_uniformis	0.145348774340006
control	24	24-30 mo	s__Bacteroides_vulgatus	0.142396420476608
control	24	24-30 mo	s__Bifidobacterium_bifidum	0.00893763042773228
control	24	24-30 mo	s__Bifidobacterium_longum	0.0311862220416935
control	24	24-30 mo	s__Blautia_wexlerae	0.022423833225157
control	24	24-30 mo	s__Faecalibacterium_prausnitzii	0.0851712530388588
control	24	24-30 mo	s__Parabacteroides_distasonis	0.0331783337308419
control	24	24-30 mo	s__Prevotella_copri	0.0205997356263898
control	24	24-30 mo	s__Roseburia_intestinalis	0.00779143371062347
control	30	30-36 mo	s__Bacteroides_dorei	0.131129213969073
control	30	30-36 mo	s__Bacteroides_fragilis	0.00600465841445015
control	30	30-36 mo	s__Bacteroides_ovatus	0.000330599959452983
control	30	30-36 mo	s__Bacteroides_uniformis	0.122263633994163
control	30	30-36 mo	s__Bacteroides_vulgatus	0.0230164187671458
control	30	30-36 mo	s__Bifidobacterium_bifidum	0.00508792126988519
control	30	30-36 mo	s__Bifidobacterium_longum	0.00637985455542299
control	30	30-36 mo	s__Blautia_wexlerae	0.0184122269897684
control	30	30-36 mo	s__Faecalibacterium_prausnitzii	0.0478494460996653
control	30	30-36 mo	s__Parabacteroides_distasonis	0.0172190348839748
control	30	30-36 mo	s__Prevotella_copri	3.21083981123146e-05
control	30	30-36 mo	s__Roseburia_intestinalis	0.0295834572940623
T1D	0	0-6 mo	s__Bacteroides_dorei	0.0632126156765773
T1D	0	0-6 mo	s__Bacteroides_fragilis	0.110986522228742
T1D	0	0-6 mo	s__Bacteroides_ovatus	0.0540391823634536
T1D	0	0-6 mo	s__Bacteroides_uniformis	0.0300503095962882
T1D	0	0-6 mo	s__Bacteroides_vulgatus	0.149028725135869
T1D	0	0-6 mo	s__Bifidobacterium_bifidum	0.0549079714993099
T1D	0	0-6 mo	s__Bifidobacterium_longum	0.0336959748942261
T1D	0	0-6 mo	s__Blautia_wexlerae	0.0199583191269685
T1D	0	0-6 mo	s__Faecalibacterium_prausnitzii	0.0594833721120382
T1D	0	0-6 mo	s__Parabacteroides_distasonis	0.0139262346070748
T1D	0	0-6 mo	s__Prevotella_copri	0
T1D	0	0-6 mo	s__Roseburia_intestinalis	0.0240811685660888
T1D	6	6-12 mo	s__Bacteroides_dorei	0.073389156190387
T1D	6	6-12 mo	s__Bacteroides_fragilis	0.0310126025809539
T1D	6	6-12 mo	s__Bacteroides_ovatus	0.0346672419316161
T1D	6	6-12 mo	s__Bacteroides_uniformis	0.0454445109123226
T1D	6	6-12 mo	s__Bacteroides_vulgatus	0.166685018179404
T1D	6	6-12 mo	s__Bifidobacterium_bifidum	0.0185205130298922
T1D	6	6-12 mo	s__Bifidobacterium_longum	0.0269124497942328
T1D	6	6-12 mo	s__Blautia_wexlerae	0.0366719760740213
T1D	6	6-12 mo	s__Faecalibacterium_prausnitzii	0.0679051117048267
T1D	6	6-12 mo	s__Parabacteroides_distasonis	0.0138006154362484
T1D	6	6-12 mo	s__Prevotella_copri	0
T1D	6	6-12 mo	s__Roseburia_intestinalis	0.026343049686105
T1D	12	12-18 mo	s__Bacteroides_dorei	0.0436746719898358
T1D	12	12-18 mo	s__Bacteroides_fragilis	0.108202919615048
T1D	12	12-18 mo	s__Bacteroides_ovatus	0.0258778848682101
T1D	12	12-18 mo	s__Bacteroides_uniformis	0.0146571465998757
T1D	12	12-18 mo	s__Bacteroides_vulgatus	0.110523311962214
T1D	12	12-18 mo	s__Bifidobacterium_bifidum	0.00435800083693337
T1D	12	12-18 mo	s__Bifidobacterium_longum	0.025286401989857
T1D	12	12-18 mo	s__Blautia_wexlerae	0.0899771227481641
T1D	12	12-18 mo	s__Faecalibacterium_prausnitzii	0.0898093554055557
T1D	12	12-18 mo	s__Parabacteroides_distasonis	0.00626758609647915
T1D	12	12-18 mo	s__Prevotella_copri	0
T1D	12	12-18 mo	s__Roseburia_intestinalis	0.0130810285670786
T1D	18	18-24 mo	s__Bacteroides_dorei	0.133074663367463
T1D	18	18-24 mo	s__Bacteroides_fragilis	0.0866595771696935
T1D	18	18-24 mo	s__Bacteroides_ovatus	0.066664871908714
T1D	18	18-24 mo	s__Bacteroides_uniformis	0.000101675157241046
T1D	18	18-24 mo	s__Bacteroides_vulgatus	0.250330255728626
T1D	18	18-24 mo	s__Bifidobacterium_bifidum	0.012279698338303
T1D	18	18-24 mo	s__Bifidobacterium_longum	0.00459725583221354
T1D	18	18-24 mo	s__Blautia_wexlerae	0.0839991642974191
T1D	18	18-24 mo	s__Faecalibacterium_prausnitzii	0.0575835467029523
T1D	18	18-24 mo	s__Parabacteroides_distasonis	0.0319143266364774
T1D	18	18-24 mo	s__Prevotella_copri	0
T1D	18	18-24 mo	s__Roseburia_intestinalis	0.00152590746932222
T1D	24	24-30 mo	s__Bacteroides_dorei	0.142803183514794
T1D	24	24-30 mo	s__Bacteroides_fragilis	0.0397905682309246
T1D	24	24-30 mo	s__Bacteroides_ovatus	0.0621596116302608
T1D	24	24-30 mo	s__Bacteroides_uniformis	0.0489623677004315
T1D	24	24-30 mo	s__Bacteroides_vulgatus	0.0821186320591632
T1D	24	24-30 mo	s__Bifidobacterium_bifidum	0.0335794703596356
T1D	24	24-30 mo	s__Bifidobacterium_longum	0.0174841741695557
T1D	24	24-30 mo	s__Blautia_wexlerae	0.060500449120786
T1D	24	24-30 mo	s__Faecalibacterium_prausnitzii	0.0820248456999575
T1D	24	24-30 mo	s__Parabacteroides_distasonis	0.0392485860965142
T1D	24	24-30 mo	s__Prevotella_copri	0
T1D	24	24-30 mo	s__Roseburia_intestinalis	0.000123975365359753
